datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions
01-01-2024,23,13,18.3,23,13,18.3,14.8,80.6,0,0,0,27.4,14.8,346.4,1015.9,3.1,2,Clear
02-01-2024,22.2,13,16.7,22.2,13,16.7,12.3,76.2,0,0,0,24.5,14.8,357.2,1016,1.3,2.3,Clear
03-01-2024,24.6,13,18.1,24.6,13,18.1,13,73.5,0,0,0,25.6,20.5,0.2,1015.3,7.7,2.7,Clear
04-01-2024,24.7,13,19,24.7,13,19,14,74.1,0,0,0,22.7,9.4,12.7,1015.3,3.5,2.4,Clear
05-01-2024,24.8,15,19.5,24.8,15,19.5,13.7,70.8,0,0,0,24.1,13,25.8,1016,1.2,2.6,Clear
06-01-2024,25,15,19.5,25,15,19.5,13.8,71.2,0,0,0,25.6,16.6,2.6,1016.6,7.5,2.5,Clear
07-01-2024,25.1,15,20.1,25.1,15,20.1,15.4,75.3,0,0,0,26.3,14.8,359.7,1017.2,0.5,1.9,Clear
08-01-2024,24.4,15,19.2,24.4,15,19.2,15.5,79.6,0,0,0,28.4,18.4,357.1,1017.5,3.5,1.9,Clear
09-01-2024,23.7,14,18.6,23.7,14,18.6,14.5,78.3,0,0,0,25.9,14.8,354.8,1016.6,10.4,2,Clear
10-01-2024,25,14,19.6,25,14,19.6,13.7,71.2,0,0,0,21.2,9.4,337.5,1014.9,10.9,2.2,Clear
11-01-2024,24.1,16,19.2,24.1,16,19.2,14.3,74.1,0,0,0,29.2,18.4,352.8,1016.4,5,2.3,Clear
12-01-2024,21.8,12,16.2,21.8,12,16.2,11.8,76.5,0,0,0,32.4,18.4,357,1016.2,5.8,2.2,Clear
13-01-2024,22.1,10,15.6,22.1,8.8,15.5,10.1,72.7,0,0,0,27.7,14.8,359.1,1015.9,26.7,2.1,Partially cloudy
14-01-2024,22,10,15.6,22,8.5,15.6,11.1,76.1,0,0,0,23.4,11.2,3.5,1015.2,0,1.9,Clear
15-01-2024,19.3,11,14.4,19.3,11,14.4,11.7,84.4,0,0,0,24.1,11.2,27.3,1015.2,54.2,1,Partially cloudy
16-01-2024,20.2,12,15.7,20.2,12,15.7,12.6,82.2,0,0,0,21.2,13,354.8,1014.8,17.7,1.6,Clear
17-01-2024,19.3,12,15,19.3,12,15,12.6,85.9,0,0,0,18.4,13,33.3,1015,21,1.6,Partially cloudy
18-01-2024,18.7,14,16.5,18.7,14,16.5,14.1,86,1.772,100,8.33,22.7,16.6,48.1,1014.9,88.6,1.6,"Rain, Partially cloudy"
19-01-2024,22,16,18.6,22,16,18.6,15.8,83.8,0,0,0,24.5,14.8,350.1,1016.2,65.8,1.5,Partially cloudy
20-01-2024,20.1,13,16.2,20.1,13,16.2,13.2,82.6,0,0,0,23.4,16.6,352.2,1016.5,26.4,1.8,Partially cloudy
21-01-2024,20,15,17.3,20,15,17.3,13.8,80.3,0,0,0,18,13,16.5,1016,65.7,1.7,Partially cloudy
22-01-2024,20,11,15,20,11,15,11.1,78.8,0,0,0,26.3,14.8,358.4,1018.2,34.4,1.8,Partially cloudy
23-01-2024,24,11,16.8,24,11,16.8,10.7,70.1,0,0,0,19.4,11.2,339,1016.7,29.8,2.2,Partially cloudy
24-01-2024,22.2,16,18.2,22.2,16,18.2,13.5,74.7,0.495,100,8.33,20.9,11.2,51.9,1016.7,80.9,2,"Rain, Partially cloudy"
25-01-2024,22.2,14,17.8,22.2,14,17.8,13.7,78.1,0,0,0,21.2,11.2,0.8,1018.7,43.2,1.9,Partially cloudy
26-01-2024,23,12,17.4,23,12,17.4,11.2,70.2,0,0,0,25.2,14.8,346.5,1019.5,11.2,2.4,Clear
27-01-2024,24,13,17.9,24,13,17.9,9.4,60.3,0,0,0,27.4,16.6,345.1,1019.1,27.8,2.9,Partially cloudy
28-01-2024,24,13,17.9,24,13,17.9,10.4,63.4,0,0,0,17.3,11.2,10.4,1018.7,29.2,2.7,Partially cloudy
